Order ID,Customer Name,Mobile Model,Quantity,Price per Unit,Total Price,Promotion Code,Order Amount,GST,Order Date,Payment Status,Shipping Status,Payment Method,Payment Provider,Mobile,Delivery Address
WRR5O63UQ184822915989,Xiao Fan,OnePlus/9/White/8GB,6,141883,851298,FESTIVE30,595908.6,89386.29,2024-04-29 00:00:00,Paid,In Transit,Credit Card,Alipay,18075174186,Qing Hai Sheng Fu Zhou Shi Shen He Xia Jie P Zuo  347065
HGAOXOS2Q184822916207,Yang Lei,iPhone/13/White/32GB,9,128211,1153899,WINTER10,1038509.1,155776.365,2024-04-29 00:00:00,Paid,In Transit,PayPal,Alipay,15890946286,He Bei Sheng Xiang Gang Xian Sha Shi Shan Wei Lu V Zuo  238627
6JOOQ78GT184822916377,Xiao Yu,Galaxy/S21/Blue/64GB,5,140753,703765,NEWYEAR25,527823.75,79173.5625,2024-04-29 00:00:00,Paid,Pending,Debit Card,Visa,18902155461,Tai Wan Sheng Dong Mei Shi Gao Ping Sheng Jie U Zuo  502444
XRHS2N4WZ184822916553,Ma Qiang,Xiaomi/Mi 11/Red/1TB,10,77247,772470,FESTIVE30,540729.0,81109.34999999999,2024-04-29 00:00:00,Failed,In Transit,PayPal,PayPal,15182990166,Tai Wan Sheng Hao Shi Xing Shan Li Jie L Zuo  425933
ERMOYKIG8184822916723,Wan Yan,iPhone/13 Pro/Red/32GB,7,138518,969626,SUMMER15,824182.1,123627.31499999999,2024-04-29 00:00:00,Failed,In Transit,PayPal,PayPal,18951007870,He Nan Sheng Zhang Chun Shi Xin Cheng Xiao Jie I Zuo  865275
S461A98A2184822916896,Lin Liu,Xiaomi/Mi 11/White/1TB,6,132932,797592,WINTER10,717832.8,107674.92,2024-04-29 00:00:00,Pending,In Transit,PayPal,Visa,18505033774,An Hui Sheng Yan Shi Hua Long Fu Xin Jie L Zuo  256849
336KJUZ49184822917050,Wu Cheng,Oppo/Reno5/Red/1TB,9,70615,635535,SPRING20,508428.0,76264.2,2024-04-29 00:00:00,Paid,Pending,Bank Transfer,WeChat Pay,18597589044,Liao Ning Sheng Xiao Hong Xian Xiao Shan Liu Jie X Zuo  320337
S702DF2VM184822917219,Guo Xiu Fang,iPhone/13 Pro/Purple/32GB,9,79180,712620,SPRING20,570096.0,85514.4,2024-04-29 00:00:00,Failed,In Transit,Bank Transfer,Visa,14578013094,Xiang Gang Te Bie Xing Zheng Qu Chang Chun Shi Xiao Shan Fu Xin Lu Z Zuo  137291
CHV251YT4184822917402,Lu Gui Xiang,Vivo/X60/Purple/254GB,9,139823,1258407,SPRING20,1006725.6000000001,151008.84,2024-04-29 00:00:00,Paid,In Transit,Debit Card,WeChat Pay,13266122977,Hu Bei Sheng Xi Ning Xian Xiu Ying Liu Pan Shui Jie I Zuo  916667
2YACDVI35184822917571,Zhou Lin,Xiaomi/Mi 11/Black/254GB,1,88278,88278,SPRING20,70622.40000000001,10593.36,2024-04-29 00:00:00,Pending,In Transit,Credit Card,Alipay,13819209829,Zhe Jiang Sheng Hui Xian Qing He Fo Shan Jie Q Zuo  678722
73H33QRIW184822917724,Wei Yang,Xiaomi/Mi 11/Red/8GB,3,93523,280569,SUMMER15,238483.65,35772.5475,2024-04-29 00:00:00,Failed,Shipped,Debit Card,American Express,15791824526,Guang Xi Zhuang Zu Zi Zhi Qu Liu Xian Hai Ling Nan Ning Jie G Zuo  675333
JOWIVYU90184822917899,Wang Xin,Vivo/X60/Purple/8GB,1,85655,85655,SPRING20,68524.0,10278.6,2024-04-29 00:00:00,Failed,Pending,Debit Card,PayPal,15228999545,Shang Hai Shi Jie Shi Jiang Bei Shan Wei Lu V Zuo  857652
4QYDLQWKR184822918052,Wang Wei,Galaxy/S21/Black/1TB,4,73768,295072,SUMMER15,250811.19999999998,37621.67999999999,2024-04-29 00:00:00,Pending,In Transit,PayPal,Alipay,13492126947,Fu Jian Sheng Shen Yang Xian Dong Cheng Hui Zhou Lu T Zuo  187074
UHTRYH24H184822918208,Wang Yu Ying,Xiaomi/Mi 11/Purple/64GB,7,62667,438669,AUTUMN5,416735.55,62510.3325,2024-04-29 00:00:00,Pending,Pending,PayPal,Visa,13552020553,Xin Jiang Wei Wu Er Zi Zhi Qu Ying Xian Nan Hu Yin Chuan Lu Y Zuo  188621
FAACKQ9CD184822918384,Li Bin,OnePlus/9/White/254GB,8,76241,609928,FESTIVE30,426949.6,64042.439999999995,2024-04-29 00:00:00,Failed,Shipped,Credit Card,MasterCard,14737414685,Guang Xi Zhuang Zu Zi Zhi Qu Hai Kou Xian Zhang Shou Ning De Jie C Zuo  935934
6DFV5D8P9184822918562,Wu Jun,OnePlus/9/Black/64GB,4,142001,568004,NEWYEAR25,426003.0,63900.45,2024-04-29 00:00:00,Paid,Shipped,Credit Card,Visa,18845453636,Zhe Jiang Sheng Tai Yuan Xian An Ci Guan Ling Lu V Zuo  129608
CVGR9YQUR184822918721,Lin Rui,OnePlus/9/White/8GB,4,119272,477088,SUMMER15,405524.8,60828.719999999994,2024-04-29 00:00:00,Pending,Shipped,Credit Card,MasterCard,15671643728,He Nan Sheng Ning De Shi Fu Cheng Wu Han Jie V Zuo  380640
