Order ID,Customer Name,Mobile Model,Quantity,Price per Unit,Total Price,Promotion Code,Order Amount,GST,Order Date,Payment Status,Shipping Status,Payment Method,Payment Provider,Mobile,Delivery Address
5CKEG8DUC184731702027,Wang Jing,iPhone/13 Pro/White/8GB,9,61466,553194,NEWYEAR25,414895.5,62234.325,2023-02-25 00:00:00,Paid,In Transit,Debit Card,Visa,18682652511,Yun Nan Sheng Shan Wei Xian Nan Zhang Shen Yang Lu L Zuo  880713
IFCGDJ0G4184731702236,Wang Xiu Yun,Vivo/X60/Red/8GB,6,117081,702486,SPRING20,561988.8,84298.32,2023-02-25 00:00:00,Pending,Delivered,Debit Card,WeChat Pay,18631988751,Tai Wan Sheng Bei Zhen Xian Long Tan Zhang Jie B Zuo  339843
TS4KFZE2Q184731702422,Shen Yang,iPhone/13 Pro/Red/1TB,8,130285,1042280,FESTIVE30,729596.0,109439.4,2023-02-25 00:00:00,Pending,Shipped,Debit Card,MasterCard,13725461752,Nei Meng Gu Zi Zhi Qu Xin Ji Shi Bin Cheng Tong Liao Lu Q Zuo  699079
8FGLHVD5D184731702613,Miao Hua,iPhone/13 Pro/Red/254GB,6,77394,464364,SPRING20,371491.2,55723.68,2023-02-25 00:00:00,Paid,Pending,Credit Card,Alipay,15965197202,Xiang Gang Te Bie Xing Zheng Qu Gui Rong Shi Bai Yun Xue Lu M Zuo  356455
7ARTCFO4A184731702813,Qin Qiang,OnePlus/9/Black/64GB,6,65453,392718,SUMMER15,333810.3,50071.545,2023-02-25 00:00:00,Pending,Shipped,Bank Transfer,WeChat Pay,15980988780,Guang Xi Zhuang Zu Zi Zhi Qu Min Xian Bin Cheng Tang Lu H Zuo  290849
OB4QLB9W7184731703007,Liang Kun,OnePlus/9/Blue/254GB,7,57242,400694,SPRING20,320555.2,48083.28,2023-02-25 00:00:00,Paid,Shipped,PayPal,WeChat Pay,13401993871,Xiang Gang Te Bie Xing Zheng Qu Xiu Rong Xian Qing Cheng Nan Chang Jie X Zuo  779020
J1N15ZU6Z184731703190,Liu Shu Hua,OnePlus/9/Red/32GB,4,136945,547780,AUTUMN5,520391.0,78058.65,2023-02-25 00:00:00,Pending,In Transit,PayPal,Alipay,13279860621,Shan Xi Sheng Chen Xian Xiao Nan Yi Dou Jie U Zuo  787178
H0IKX1RIJ184731703357,Qiu Liang,iPhone/13/Blue/64GB,6,69421,416526,SUMMER15,354047.1,53107.064999999995,2023-02-25 00:00:00,Pending,Pending,Credit Card,WeChat Pay,13668506346,Zhe Jiang Sheng Liu Zhou Xian Dong Cheng Zhou Lu Z Zuo  196074
FGRNY7NVT184731703529,Dai Xia,Huawei/P40/Red/128GB,2,62586,125172,SPRING20,100137.6,15020.64,2023-02-25 00:00:00,Paid,Delivered,PayPal,WeChat Pay,18080215687,Tian Jin Shi Xi An Xian Xing Shan Yu Lu N Zuo  526529
4UK3Y0XL7184731703702,Meng Shu Lan,Galaxy/S21/Black/32GB,7,147310,1031170,SPRING20,824936.0,123740.4,2023-02-25 00:00:00,Paid,Pending,PayPal,American Express,14729506242,Tian Jin Shi Jie Xian Xiang An Ha Er Bin Lu G Zuo  193301
975LDI5KO184731703868,Liao Hong,Vivo/X60/Black/1TB,2,57116,114232,NEWYEAR25,85674.0,12851.1,2023-02-25 00:00:00,Paid,Delivered,Credit Card,Visa,15272578500,Gan Su Sheng Lan Ying Xian Dong Li Wu Lu Mu Qi Jie A Zuo  247730
BWJ931S1X184731704049,Zhou Gui Rong,OnePlus/9/Purple/64GB,6,115889,695334,AUTUMN5,660567.2999999999,99085.09499999999,2023-02-25 00:00:00,Failed,Delivered,Debit Card,MasterCard,13787975078,Gui Zhou Sheng Jin Feng Shi Liu Zhi Te Zhong Jie T Zuo  469266
BM7R0ZKKY184731704234,Ding Kai,Huawei/P40/Red/254GB,6,55614,333684,FESTIVE30,233578.8,35036.82,2023-02-25 00:00:00,Pending,Delivered,PayPal,WeChat Pay,13558966135,Chong Qing Shi Zhang Chun Shi Zhang Shou Chen Jie N Zuo  877216
XPZ6N9GXQ184731704409,Zhang Jun,Oppo/Reno5/Blue/128GB,5,74688,373440,FESTIVE30,261407.99999999997,39211.2,2023-02-25 00:00:00,Paid,In Transit,Bank Transfer,MasterCard,14741538148,Xi Zang Zi Zhi Qu Bei Jing Shi Hua Long Jing Men Jie W Zuo  622478
OU0YGM3O2184731704576,Huang Xiu Hua,iPhone/13 Pro/White/8GB,2,53027,106054,AUTUMN5,100751.29999999999,15112.694999999998,2023-02-25 00:00:00,Failed,In Transit,Credit Card,MasterCard,15238013856,Xiang Gang Te Bie Xing Zheng Qu Han Dan Shi Xin Cheng Chang Sha Jie J Zuo  590742
ZAUS8AXLG184731704775,Chu Yan,Oppo/Reno5/White/128GB,10,89564,895640,NEWYEAR25,671730.0,100759.5,2023-02-25 00:00:00,Pending,Pending,Credit Card,American Express,18933614086,Hu Nan Sheng Lu Xian Cheng Bei Xing An Meng Lu V Zuo  787150
FEL9V2KIT184731704941,Li Xu,Oppo/Reno5/Blue/254GB,5,133812,669060,FESTIVE30,468341.99999999994,70251.29999999999,2023-02-25 00:00:00,Pending,In Transit,Debit Card,Alipay,18148527501,Hei Long Jiang Sheng Yu Xian Zhang Shou Han Lu O Zuo  645884
X8U1CUVNX184731705116,Yuan Wei,OnePlus/9/Black/8GB,5,101460,507300,WINTER10,456570.0,68485.5,2023-02-25 00:00:00,Paid,Pending,PayPal,Alipay,18175826672,Gan Su Sheng Huai An Xian Xin Cheng Shang Hai Jie O Zuo  219846
E7GUEPHFW184731705277,Xie Yan,iPhone/13 Pro/Black/8GB,2,51429,102858,SPRING20,82286.40000000001,12342.960000000001,2023-02-25 00:00:00,Failed,In Transit,Credit Card,MasterCard,18531288188,Guang Dong Sheng Zhang Chun Shi He Ping Zhou Lu S Zuo  301825
