Order ID,Customer Name,Mobile Model,Quantity,Price per Unit,Total Price,Promotion Code,Order Amount,GST,Order Date,Payment Status,Shipping Status,Payment Method,Payment Provider,Mobile,Delivery Address
8U1ACDMS7184750819817,Zhu Kun,OnePlus/9/Blue/64GB,3,114065,342195,AUTUMN5,325085.25,48762.7875,2023-07-25 00:00:00,Paid,Pending,PayPal,MasterCard,13443606039,Nei Meng Gu Zi Zhi Qu Yang Shi Pu Tuo Liu Lu E Zuo  502142
CIS711YDY184750820033,Li Hong Xia,Vivo/X60/White/8GB,5,91169,455845,NEWYEAR25,341883.75,51282.5625,2023-07-25 00:00:00,Pending,Delivered,Bank Transfer,American Express,18044903020,Gan Su Sheng Ping Xian Min Xing Pang Jie R Zuo  572662
RB9VIP9G7184750820214,Shao Jian Guo,iPhone/13 Pro/Black/8GB,6,135781,814686,FESTIVE30,570280.2,85542.02999999998,2023-07-25 00:00:00,Paid,Pending,PayPal,MasterCard,15536296842,He Nan Sheng Lan Ying Shi Nan Zhang Yin Chuan Lu D Zuo  764714
U0BFDK3DX184750820386,Li Yu Hua,Galaxy/S21/Red/32GB,3,105471,316413,AUTUMN5,300592.35,45088.85249999999,2023-07-25 00:00:00,Paid,Delivered,PayPal,MasterCard,13844173227,Jiang Xi Sheng Gui Hua Shi Cheng Dong Chen Lu R Zuo  373391
GFVAWP6E9184750820564,Zhang Ying,OnePlus/9/Purple/8GB,9,102380,921420,AUTUMN5,875349.0,131302.35,2023-07-25 00:00:00,Pending,Pending,Debit Card,MasterCard,15956537035,Chong Qing Shi Gui Ying Shi Shen He Yang Lu U Zuo  908742
S0K3NYPSL184750820737,Cheng Jian,Huawei/P40/Red/128GB,2,119555,239110,WINTER10,215199.0,32279.85,2023-07-25 00:00:00,Pending,Shipped,Debit Card,PayPal,15179291913,Zhe Jiang Sheng Shen Yang Xian Cheng Bei Wu Zhou Jie V Zuo  939806
1OQGTJ229184750820899,Xu Jian Guo,Vivo/X60/Purple/32GB,10,81986,819860,WINTER10,737874.0,110681.09999999999,2023-07-25 00:00:00,Failed,Pending,Credit Card,Alipay,13467134068,Bei Jing Shi Xiu Mei Shi Mu Ye Gong Jie S Zuo  282034
ERNQL84XR184750821073,Chen Yu,Oppo/Reno5/White/32GB,5,62908,314540,FESTIVE30,220178.0,33026.7,2023-07-25 00:00:00,Failed,Shipped,Debit Card,PayPal,13820971026,Ji Lin Sheng Xiao Hong Xian Min Xing Peng Lu X Zuo  406178
C6382IFIU184750821241,Huang Ling,Vivo/X60/Red/8GB,4,56991,227964,NEWYEAR25,170973.0,25645.95,2023-07-25 00:00:00,Paid,In Transit,Credit Card,MasterCard,15323456558,Tian Jin Shi Ning De Shi Cheng Dong Feng Lu V Zuo  157201
WDIPHR3T4184750821407,Wang Ming,Xiaomi/Mi 11/Purple/1TB,3,94380,283140,AUTUMN5,268983.0,40347.45,2023-07-25 00:00:00,Pending,Pending,Bank Transfer,Alipay,15350647531,Yun Nan Sheng Nan Chang Shi Liang Ping Ha Er Bin Lu Z Zuo  732562
GH9698EYK184750821570,Zhang Jian Guo,Vivo/X60/White/128GB,3,98829,296487,WINTER10,266838.3,40025.744999999995,2023-07-25 00:00:00,Failed,Shipped,PayPal,Visa,15168839700,Shan Xi Sheng Ma An Shan Xian Pu Tuo Su Jie K Zuo  146225
